city,cityLabel,city_population,city_coordinate_location,sister,sisterLabel,sister_population,sister_coordinate_location
http://www.wikidata.org/entity/Q168202,Rosh HaAyin,12100,Point(34.95 32.083333333),http://www.wikidata.org/entity/Q1874,Odessa,1017699,Point(30.73262 46.47747)
http://www.wikidata.org/entity/Q168202,Rosh HaAyin,12300,Point(34.95 32.083333333),http://www.wikidata.org/entity/Q1874,Odessa,1017699,Point(30.73262 46.47747)
http://www.wikidata.org/entity/Q168202,Rosh HaAyin,12400,Point(34.95 32.083333333),http://www.wikidata.org/entity/Q1874,Odessa,1017699,Point(30.73262 46.47747)
http://www.wikidata.org/entity/Q168202,Rosh HaAyin,10300,Point(34.95 32.083333333),http://www.wikidata.org/entity/Q7077,Dachau,47400,Point(11.434166666 48.260277777)
http://www.wikidata.org/entity/Q168202,Rosh HaAyin,10400,Point(34.95 32.083333333),http://www.wikidata.org/entity/Q7077,Dachau,47400,Point(11.434166666 48.260277777)
http://www.wikidata.org/entity/Q168202,Rosh HaAyin,10600,Point(34.95 32.083333333),http://www.wikidata.org/entity/Q7077,Dachau,47400,Point(11.434166666 48.260277777)
http://www.wikidata.org/entity/Q168202,Rosh HaAyin,10800,Point(34.95 32.083333333),http://www.wikidata.org/entity/Q7077,Dachau,47400,Point(11.434166666 48.260277777)
http://www.wikidata.org/entity/Q168202,Rosh HaAyin,11100,Point(34.95 32.083333333),http://www.wikidata.org/entity/Q7077,Dachau,47400,Point(11.434166666 48.260277777)
http://www.wikidata.org/entity/Q168202,Rosh HaAyin,11400,Point(34.95 32.083333333),http://www.wikidata.org/entity/Q7077,Dachau,47400,Point(11.434166666 48.260277777)
http://www.wikidata.org/entity/Q168202,Rosh HaAyin,11500,Point(34.95 32.083333333),http://www.wikidata.org/entity/Q7077,Dachau,47400,Point(11.434166666 48.260277777)
http://www.wikidata.org/entity/Q168202,Rosh HaAyin,11600,Point(34.95 32.083333333),http://www.wikidata.org/entity/Q7077,Dachau,47400,Point(11.434166666 48.260277777)
http://www.wikidata.org/entity/Q168202,Rosh HaAyin,11700,Point(34.95 32.083333333),http://www.wikidata.org/entity/Q7077,Dachau,47400,Point(11.434166666 48.260277777)
http://www.wikidata.org/entity/Q168202,Rosh HaAyin,11800,Point(34.95 32.083333333),http://www.wikidata.org/entity/Q7077,Dachau,47400,Point(11.434166666 48.260277777)
http://www.wikidata.org/entity/Q168202,Rosh HaAyin,11900,Point(34.95 32.083333333),http://www.wikidata.org/entity/Q7077,Dachau,47400,Point(11.434166666 48.260277777)
http://www.wikidata.org/entity/Q168202,Rosh HaAyin,12100,Point(34.95 32.083333333),http://www.wikidata.org/entity/Q7077,Dachau,47400,Point(11.434166666 48.260277777)
http://www.wikidata.org/entity/Q168202,Rosh HaAyin,12300,Point(34.95 32.083333333),http://www.wikidata.org/entity/Q7077,Dachau,47400,Point(11.434166666 48.260277777)
http://www.wikidata.org/entity/Q168202,Rosh HaAyin,12400,Point(34.95 32.083333333),http://www.wikidata.org/entity/Q7077,Dachau,47400,Point(11.434166666 48.260277777)
http://www.wikidata.org/entity/Q168202,Rosh HaAyin,10300,Point(34.95 32.083333333),http://www.wikidata.org/entity/Q34404,New Orleans,378715,Point(-90.07507 29.95465)
http://www.wikidata.org/entity/Q168202,Rosh HaAyin,10400,Point(34.95 32.083333333),http://www.wikidata.org/entity/Q34404,New Orleans,378715,Point(-90.07507 29.95465)
http://www.wikidata.org/entity/Q48278,Medellín,2529403,Point(-75.574827777 6.244747222),http://www.wikidata.org/entity/Q490,Milano,1366180,Point(9.19 45.466944444)
http://www.wikidata.org/entity/Q47492,Gaza,515556,Point(34.45 31.516666666),http://www.wikidata.org/entity/Q495,Torino,870952,Point(7.7 45.066666666)
http://www.wikidata.org/entity/Q47282,Oš,281900,Point(72.783333333 40.533333333),http://www.wikidata.org/entity/Q656,San Pietroburgo,5384342,Point(30.25 59.91667)
http://www.wikidata.org/entity/Q47282,Oš,281900,Point(72.783333333 40.533333333),http://www.wikidata.org/entity/Q656,San Pietroburgo,5384342,Point(30.316666666 59.95)
http://www.wikidata.org/entity/Q47554,Toruń,201447,Point(18.616666666 53.016666666),http://www.wikidata.org/entity/Q1345,Filadelfia,1580863,Point(-75.163611111 39.952777777)
http://www.wikidata.org/entity/Q48320,Kōbe,1513193,Point(135.183 34.6913),http://www.wikidata.org/entity/Q1345,Filadelfia,1580863,Point(-75.163611111 39.952777777)
http://www.wikidata.org/entity/Q48278,Medellín,2529403,Point(-75.574827777 6.244747222),http://www.wikidata.org/entity/Q1361,Hyderabad,9305000,Point(78.474722222 17.361666666)
http://www.wikidata.org/entity/Q48278,Medellín,2529403,Point(-75.574827777 6.244747222),http://www.wikidata.org/entity/Q1486,Buenos Aires,3063728,Point(-58.381944444 -34.599722222)
http://www.wikidata.org/entity/Q47492,Gaza,515556,Point(34.45 31.516666666),http://www.wikidata.org/entity/Q1492,Barcellona,1664182,Point(2.176944444 41.3825)
http://www.wikidata.org/entity/Q48278,Medellín,2529403,Point(-75.574827777 6.244747222),http://www.wikidata.org/entity/Q1492,Barcellona,1664182,Point(2.176944444 41.3825)
http://www.wikidata.org/entity/Q48320,Kōbe,1513193,Point(135.183 34.6913),http://www.wikidata.org/entity/Q1492,Barcellona,1664182,Point(2.176944444 41.3825)
http://www.wikidata.org/entity/Q48320,Kōbe,1513193,Point(135.183 34.6913),http://www.wikidata.org/entity/Q1773,Riga,614618,Point(24.106944444 56.9475)
http://www.wikidata.org/entity/Q47554,Toruń,201447,Point(18.616666666 53.016666666),http://www.wikidata.org/entity/Q1829,Kaliningrad,475056,Point(20.5 54.716666666)
http://www.wikidata.org/entity/Q47282,Oš,281900,Point(72.783333333 40.533333333),http://www.wikidata.org/entity/Q1899,Kiev,2963199,Point(30.523611111 50.45)
http://www.wikidata.org/entity/Q48338,Kayseri,1389680,Point(35.4875 38.7225),http://www.wikidata.org/entity/Q2805,Krefeld,227020,Point(6.566666666 51.333333333)
http://www.wikidata.org/entity/Q216638,Wakefield,99251,Point(-1.492 53.6801),http://www.wikidata.org/entity/Q2904,Herne,156374,Point(7.21897 51.54258)
http://www.wikidata.org/entity/Q47554,Toruń,201447,Point(18.616666666 53.016666666),http://www.wikidata.org/entity/Q3033,Gottinga,119801,Point(9.935555555 51.533888888)
http://www.wikidata.org/entity/Q216638,Wakefield,99251,Point(-1.492 53.6801),http://www.wikidata.org/entity/Q3323,Belgorod,391135,Point(36.6 50.6)
http://www.wikidata.org/entity/Q47772,San Carlos de Bariloche,112887,Point(-71.3 -41.15),http://www.wikidata.org/entity/Q3476,L'Aquila,69439,Point(13.391991666 42.354008333)
http://www.wikidata.org/entity/Q47952,Salford,103886,Point(-2.293055555 53.482777777),http://www.wikidata.org/entity/Q3822,Lünen,86348,Point(7.516666666 51.616666666)
http://www.wikidata.org/entity/Q216638,Wakefield,99251,Point(-1.492 53.6801),http://www.wikidata.org/entity/Q3898,Castrop-Rauxel,73425,Point(7.316666666 51.55)
http://www.wikidata.org/entity/Q48285,Villa Carlos Paz,62423,Point(-64.516666666 -31.4),http://www.wikidata.org/entity/Q3936,Bamberga,77592,Point(10.891666666 49.891666666)
http://www.wikidata.org/entity/Q48320,Kōbe,1513193,Point(135.183 34.6913),http://www.wikidata.org/entity/Q5083,Seattle,744955,Point(-122.33207 47.60621)
http://www.wikidata.org/entity/Q48338,Kayseri,1389680,Point(35.4875 38.7225),http://www.wikidata.org/entity/Q5265,Nal'čik,265162,Point(43.616666666 43.483333333)
http://www.wikidata.org/entity/Q47554,Toruń,201447,Point(18.616666666 53.016666666),http://www.wikidata.org/entity/Q5266,Novo mesto,24183,Point(15.162777777 45.798055555)
http://www.wikidata.org/entity/Q48278,Medellín,2529403,Point(-75.574827777 6.244747222),http://www.wikidata.org/entity/Q6506,Varna,346479,Point(27.91108 43.211375)
http://www.wikidata.org/entity/Q48278,Medellín,2529403,Point(-75.574827777 6.244747222),http://www.wikidata.org/entity/Q6506,Varna,369162,Point(27.91108 43.211375)
http://www.wikidata.org/entity/Q47952,Salford,103886,Point(-2.293055555 53.482777777),http://www.wikidata.org/entity/Q6555,Narbona,55375,Point(3.003611111 43.184722222)
http://www.wikidata.org/entity/Q47554,Toruń,201447,Point(18.616666666 53.016666666),http://www.wikidata.org/entity/Q7550,Luc'k,216505,Point(25.324444444 50.747777777)
