city,cityLabel,city_population,city_coordinate_location,sister,sisterLabel,sister_population,sister_coordinate_location
http://www.wikidata.org/entity/Q180522,Aqaba,140000,Point(35.0 29.516666666),http://www.wikidata.org/entity/Q656,San Pietroburgo,5384342,Point(30.316666666 59.95)
http://www.wikidata.org/entity/Q181557,Kaohsiung,2773533,Point(120.3 22.616667),http://www.wikidata.org/entity/Q975,San Antonio,1436697,Point(-98.493888888 29.425)
http://www.wikidata.org/entity/Q180139,Hradec Králové,92683,Point(15.831944444 50.209166666),http://www.wikidata.org/entity/Q1310,Arnhem,148070,Point(5.916666666 51.983333333)
http://www.wikidata.org/entity/Q180233,Pori,85363,Point(21.797222222 61.484722222),http://www.wikidata.org/entity/Q1773,Riga,614618,Point(24.106944444 56.9475)
http://www.wikidata.org/entity/Q180139,Hradec Králové,92683,Point(15.831944444 50.209166666),http://www.wikidata.org/entity/Q1799,Breslavia,638586,Point(17.0325 51.11)
http://www.wikidata.org/entity/Q180233,Pori,85363,Point(21.797222222 61.484722222),http://www.wikidata.org/entity/Q2290,Porsgrunn,36397,Point(9.6568 59.1419)
http://www.wikidata.org/entity/Q179815,Durham,48069,Point(-1.566666666 54.783333333),http://www.wikidata.org/entity/Q2592,Kostroma,277648,Point(40.933333333 57.766666666)
http://www.wikidata.org/entity/Q180233,Pori,85363,Point(21.797222222 61.484722222),http://www.wikidata.org/entity/Q2706,Bremerhaven,113634,Point(8.583333333 53.55)
http://www.wikidata.org/entity/Q2766547,'s-Hertogenbosch,143782,Point(5.316666666 51.7),http://www.wikidata.org/entity/Q3138,Treviri,110636,Point(6.641388888 49.756666666)
http://www.wikidata.org/entity/Q2762100,Nicosia Nord,61378,Point(33.363238888 35.177011111),http://www.wikidata.org/entity/Q3640,Ankara,5503985,Point(32.85 39.93)
http://www.wikidata.org/entity/Q179815,Durham,48069,Point(-1.566666666 54.783333333),http://www.wikidata.org/entity/Q3806,Tubinga,90546,Point(9.055555555 48.52)
http://www.wikidata.org/entity/Q180139,Hradec Králové,92683,Point(15.831944444 50.209166666),http://www.wikidata.org/entity/Q3874,Gießen,88546,Point(8.666666666 50.583333333)
http://www.wikidata.org/entity/Q182009,Tekirdağ,1029927,Point(27.516666666 40.983333333),http://www.wikidata.org/entity/Q3923,Bayreuth,74657,Point(11.578333333 49.948055555)
http://www.wikidata.org/entity/Q180233,Pori,85363,Point(21.797222222 61.484722222),http://www.wikidata.org/entity/Q4065,Stralsund,59421,Point(13.081944444 54.309166666)
http://www.wikidata.org/entity/Q180057,Lincoln,97541,Point(-0.55 53.25),http://www.wikidata.org/entity/Q4149,Neustadt an der Weinstraße,53148,Point(8.19525 49.3443)
http://www.wikidata.org/entity/Q179691,Niigata,790646,Point(139.036388888 37.916111111),http://www.wikidata.org/entity/Q4454,Chabarovsk,616242,Point(135.066666666 48.483333333)
http://www.wikidata.org/entity/Q181557,Kaohsiung,2773533,Point(120.3 22.616667),http://www.wikidata.org/entity/Q5083,Seattle,744955,Point(-122.33207 47.60621)
http://www.wikidata.org/entity/Q180139,Hradec Králové,92683,Point(15.831944444 50.209166666),http://www.wikidata.org/entity/Q6088,Città di Alessandria,93980,Point(8.62 44.913330555)
http://www.wikidata.org/entity/Q180522,Aqaba,140000,Point(35.0 29.516666666),http://www.wikidata.org/entity/Q6506,Varna,346479,Point(27.91108 43.211375)
http://www.wikidata.org/entity/Q180522,Aqaba,140000,Point(35.0 29.516666666),http://www.wikidata.org/entity/Q6506,Varna,369162,Point(27.91108 43.211375)
http://www.wikidata.org/entity/Q182025,Aksaray,295351,Point(34.0297 38.3686),http://www.wikidata.org/entity/Q6509,Burgas,210521,Point(27.470179 42.502965)
http://www.wikidata.org/entity/Q182025,Aksaray,295351,Point(34.0297 38.3686),http://www.wikidata.org/entity/Q6509,Burgas,226868,Point(27.470179 42.502965)
http://www.wikidata.org/entity/Q179691,Niigata,790646,Point(139.036388888 37.916111111),http://www.wikidata.org/entity/Q7769,Birobidžan,73623,Point(132.933333333 48.783333333)
